bin                                     am                                      
du                                      you                                     
ich                                     I                                       
oben                                    up 
neider                                  down 
bist                                    are                                     
frau                                    wife                                    
brot                                    bread                                   
nett                                    nice                                    
sehr                                    very                                    
groß                                    tall                                    
klug                                    smart                                   
die(female)/der(male)                   the                                     
hund                                    dog                                     
schön                                   beautiful                               
nicht                                   don't                                   
verstehen                               understand                              
Tschüss                                 bye                                     
bis später!                             see you later                           
bis bald                                see you soon                            
gut                                     good                                    
guten morgen                            good morning                            
guten abend                             good evening                            
guten tag                               good day
guten namchmittag                       good afternoon 
gute nacht                              good night 
es tut mir leid                         I'm sorry                               
wie geht's?                             how are you? 
es geht                                 I'm all right(alright) 
kein problem                            No problem 
natürlich                               of course
prost                                   cheers                                  
auf wiedersehen                         goodbye                                  
lecker                                  delicious  
heiß                                    hot 
Käse                                    cheese (masculine)
Kellner                                 waiter 
Entschuldigung                          excuse me 
speisekarte                             menu                                    
essen                                   food 
schnitzel                               schnitzel 
wurst                                   sausage 
rechnung                                check/bill                                   
es                                      it
aus                                     from 
auch                                    also 
wunderbar                               wonderful 
klein                                   little/small(calvin klein - chotu calvin) 
Woher                                   (Where from) 
komme                                   come from
Kommst                                  Come 
scheiBe                                 fuck 
verdammt                                damn it 
verdammten                              damned 
eifersüchtig                            jealous
aufregend                              exciting 
teuer(toya)                             expensive 

Deutschland                             Germany(eu - oy) 
Österreich                              Austria 
Frankreich                              France 
 
stadt                                   city 
wien                                    vienna 
München                                 Munich 
























